month,unemployment_rate,violation
1,0.0,low
2,0.0,low
3,0.56,high
4,0.02,low
5,0.05,
6,0.1,
7,0.07,
8,0.1,
9,0.05,
10,0.02,low
11,0.05,
12,0.06,
13,0.04,
14,0.05,
15,0.04,
16,0.03,low
17,0.02,low
18,0.04,
19,0.03,low
20,0.01,low
21,0.05,
22,0.01,low
23,0.03,low
24,0.01,low
25,0.01,low
26,0.03,low
27,0.0,low
28,0.03,low
29,0.04,
30,0.06,
31,0.03,low
32,0.04,
33,0.01,low
34,0.0,low
35,0.01,low
36,0.02,low
37,0.08,
38,0.09,
39,0.09,
40,0.02,low
41,0.04,
42,0.01,low
43,0.02,low
44,0.05,
45,0.04,
46,0.03,low
47,0.05,
48,0.03,low
49,0.02,low
50,0.02,low
51,0.04,
52,0.02,low
53,0.01,low
54,0.0,low
55,0.0,low
56,0.04,
57,0.04,
58,0.01,low
59,0.09,
60,0.06,
61,0.07,
62,0.09,
63,0.06,
64,0.02,low
65,0.0,low
66,0.0,low
67,0.01,low
68,0.06,
69,0.05,
70,0.09,
71,0.12,
72,0.08,
73,0.03,low
74,0.07,
75,0.02,low
76,0.0,low
77,0.08,
78,0.07,
79,0.07,
80,0.11,
81,0.09,
82,0.09,
83,0.0,low
84,0.03,low
85,0.11,
86,0.06,
87,0.04,
88,0.06,
89,0.04,
90,0.02,low
91,0.01,low
92,0.03,low
93,0.03,low
94,0.03,low
95,0.02,low
96,0.02,low
97,0.02,low
98,0.02,low
99,0.0,low
100,0.02,low
101,0.01,low
102,0.01,low
103,0.02,low
104,0.03,low
105,0.03,low
106,0.03,low
107,0.02,low
108,0.0,low
109,0.0,low
110,0.01,low
111,0.04,
112,0.01,low
113,0.03,low
114,0.04,
115,0.01,low
116,0.01,low
117,0.01,low
118,0.01,low
119,0.0,low
120,0.03,low
121,0.05,
122,0.03,low
123,0.04,
124,0.03,low
125,0.05,
126,0.03,low
127,0.0,low
128,0.03,low
129,0.02,low
130,0.01,low
131,0.01,low
132,0.04,
133,0.06,
134,0.02,low
135,0.04,
136,0.04,
137,0.0,low
138,0.04,
139,0.03,low
140,0.03,low
141,0.01,low
142,0.03,low
143,0.04,
144,0.04,
145,0.03,low
146,0.03,low
147,0.02,low
148,0.02,low
149,0.02,low
150,0.0,low
151,0.02,low
152,0.06,
153,0.01,low
154,0.04,
155,0.02,low
156,0.01,low
157,0.01,low
158,0.02,low
159,0.05,
160,0.03,low
161,0.05,
162,0.06,
163,0.03,low
164,0.1,
165,0.05,
166,0.02,low
167,0.05,
168,0.02,low
169,0.01,low
170,0.05,
171,0.01,low
172,0.09,
173,0.09,
174,0.05,
175,0.1,
176,0.04,
177,0.03,low
178,0.03,low
179,0.06,
180,0.01,low
181,0.05,
182,0.08,
183,0.02,low
184,0.14,
185,0.04,
186,0.0,low
187,0.12,
188,0.04,
189,0.12,
190,0.09,
191,0.07,
192,0.09,
193,0.04,
194,0.12,
195,0.09,
196,0.06,
197,0.03,low
198,0.07,
199,0.06,
200,0.03,low
201,0.01,low
202,0.06,
203,0.06,
204,0.04,
205,0.07,
206,0.05,
207,0.07,
208,0.07,
209,0.03,low
210,0.02,low
211,0.03,low
212,0.02,low
213,0.01,low
214,0.0,low
215,0.01,low
216,0.02,low
217,0.01,low
218,0.0,low
219,0.0,low
220,0.01,low
221,0.0,low
222,0.01,low
223,0.0,low
224,0.01,low
225,0.03,low
226,0.07,
227,0.01,low
228,0.02,low
229,0.03,low
230,0.01,low
231,0.02,low
232,0.0,low
233,0.01,low
234,0.0,low
235,0.01,low
236,0.01,low
237,0.02,low
238,0.02,low
239,0.02,low
240,0.02,low
